violation,skillid,skill name,github developer,store developer,github description,store description
,B08J1XNKZH,Refugee Restrooms,repos/s-maheshbabu/azure-restrooms-alexa-skill,Mahesh,"The primary goal of Refugee Restrooms is to provide safe restroom access for transgender, intersex, and gender nonconforming individuals while traveling within the United States. We leverage a user generated/rated database of thousands of restrooms across the country to find safe and inclusive restrooms for transgender people. We also support looking up accessible and parent friendly (changing table) restrooms.You can search for restrooms by proximity to your search location or search for restrooms at a specific zip-code if you want to investigate safe restroom access before you travel. You can also get an email with the restroom search results.What's the motivation to build a restroom searching skill?One of the biggest battlefields upon which the fight for transgender rights is taking place daily are restrooms. It seems that every other week a transgender child is made the center of a national news story because they used the restroom assigned to the gender they identify with. Obviously, every transgender person should have the right to use the restroom they want to. However, we also realize that despite legislative victories in recent years regarding restroom usage, many transgender individuals still face both verbal and physical harassment simply for using the restroom. Nobody should have to face that - and that is why this skill exists.Why support searching for accessible and parent friendly restrooms?While our primary focus has been and will be providing safe restroom access to transgender individuals, we also realize that disabled people and parents traveling with kids do face a similar problem around finding restrooms that meet their needs. For that reason, we extended the skill to also support searching for accessible restrooms and restrooms with changing tables.Why do you need my location and email?Location: The skill requests your location so it can search for restrooms near your current location. The skill accesses your location just before searching for the restrooms and discards the information once you exit the skill. The skill does not store or log your location. If you choose to not grant access to your location, you can still use the skill but you will have to manually provide the zip code where you want the skill to search for restrooms.Email: The skill requests your email so it can send you the restroom search results to your email. The email will contain up to 10 results and contains rich information like Google Maps navigation links, restroom features etc. The skill accesses your email just before sending an email and discards the information once you exit the skill. The skill does not store or log your email address. If you choose to not grant access to your email address, you can still use the skill but will just get results delivered via voice.","The primary goal of Refugee Restrooms is to provide safe restroom access for transgender, intersex, and gender nonconforming individuals while traveling within the United States. We leverage a user generated/rated database of thousands of restrooms across the country to find safe and inclusive restrooms for transgender people. We also support looking up accessible and parent friendly (changing table) restrooms.You can search for restrooms by proximity to your search location or search for restrooms at a specific zip-code if you want to investigate safe restroom access before you travel. You can also get an email with the restroom search results.What's the motivation to build a restroom searching skill?One of the biggest battlefields upon which the fight for transgender rights is taking place daily are restrooms. It seems that every other week a transgender child is made the center of a national news story because they used the restroom assigned to the gender they identify with. Obviously, every transgender person should have the right to use the restroom they want to. However, we also realize that despite legislative victories in recent years regarding restroom usage, many transgender individuals still face both verbal and physical harassment simply for using the restroom. Nobody should have to face that - and that is why this skill exists.Why support searching for accessible and parent friendly restrooms?While our primary focus has been and will be providing safe restroom access to transgender individuals, we also realize that disabled people and parents traveling with kids do face a similar problem around finding restrooms that meet their needs. For that reason, we extended the skill to also support searching for accessible restrooms and restrooms with changing tables.Why do you need my location and email?Location: The skill requests your location so it can search for restrooms near your current location. The skill accesses your location just before searching for the restrooms and discards the information once you exit the skill. The skill does not store or log your location. If you choose to not grant access to your location, you can still use the skill but you will have to manually provide the zip code where you want the skill to search for restrooms.Email: The skill requests your email so it can send you the restroom search results to your email. The email will contain up to 10 results and contains rich information like Google Maps navigation links, restroom features etc. The skill accesses your email just before sending an email and discards the information once you exit the skill. The skill does not store or log your email address. If you choose to not grant access to your email address, you can still use the skill but will just get results delivered via voice."
,B08J1XNKZH,Refugee Restrooms,repos/s-maheshbabu/restrooms-alexa-skill,Mahesh,"The primary goal of Refugee Restrooms is to provide safe restroom access for transgender, intersex, and gender nonconforming individuals while traveling within the United States. We leverage a user generated/rated database of thousands of restrooms across the country to find safe and inclusive restrooms for transgender people. We also support looking up accessible and parent friendly (changing table) restrooms.You can search for restrooms by proximity to your search location or search for restrooms at a specific zip-code if you want to investigate safe restroom access before you travel. You can also get an email with the restroom search results.What's the motivation to build a restroom searching skill?One of the biggest battlefields upon which the fight for transgender rights is taking place daily are restrooms. It seems that every other week a transgender child is made the center of a national news story because they used the restroom assigned to the gender they identify with. Obviously, every transgender person should have the right to use the restroom they want to. However, we also realize that despite legislative victories in recent years regarding restroom usage, many transgender individuals still face both verbal and physical harassment simply for using the restroom. Nobody should have to face that - and that is why this skill exists.Why support searching for accessible and parent friendly restrooms?While our primary focus has been and will be providing safe restroom access to transgender individuals, we also realize that disabled people and parents traveling with kids do face a similar problem around finding restrooms that meet their needs. For that reason, we extended the skill to also support searching for accessible restrooms and restrooms with changing tables.Why do you need my location and email?Location: The skill requests your location so it can search for restrooms near your current location. The skill accesses your location just before searching for the restrooms and discards the information once you exit the skill. The skill does not store or log your location. If you choose to not grant access to your location, you can still use the skill but you will have to manually provide the zip code where you want the skill to search for restrooms.Email: The skill requests your email so it can send you the restroom search results to your email. The email will contain up to 10 results and contains rich information like Google Maps navigation links, restroom features etc. The skill accesses your email just before sending an email and discards the information once you exit the skill. The skill does not store or log your email address. If you choose to not grant access to your email address, you can still use the skill but will just get results delivered via voice.","The primary goal of Refugee Restrooms is to provide safe restroom access for transgender, intersex, and gender nonconforming individuals while traveling within the United States. We leverage a user generated/rated database of thousands of restrooms across the country to find safe and inclusive restrooms for transgender people. We also support looking up accessible and parent friendly (changing table) restrooms.You can search for restrooms by proximity to your search location or search for restrooms at a specific zip-code if you want to investigate safe restroom access before you travel. You can also get an email with the restroom search results.What's the motivation to build a restroom searching skill?One of the biggest battlefields upon which the fight for transgender rights is taking place daily are restrooms. It seems that every other week a transgender child is made the center of a national news story because they used the restroom assigned to the gender they identify with. Obviously, every transgender person should have the right to use the restroom they want to. However, we also realize that despite legislative victories in recent years regarding restroom usage, many transgender individuals still face both verbal and physical harassment simply for using the restroom. Nobody should have to face that - and that is why this skill exists.Why support searching for accessible and parent friendly restrooms?While our primary focus has been and will be providing safe restroom access to transgender individuals, we also realize that disabled people and parents traveling with kids do face a similar problem around finding restrooms that meet their needs. For that reason, we extended the skill to also support searching for accessible restrooms and restrooms with changing tables.Why do you need my location and email?Location: The skill requests your location so it can search for restrooms near your current location. The skill accesses your location just before searching for the restrooms and discards the information once you exit the skill. The skill does not store or log your location. If you choose to not grant access to your location, you can still use the skill but you will have to manually provide the zip code where you want the skill to search for restrooms.Email: The skill requests your email so it can send you the restroom search results to your email. The email will contain up to 10 results and contains rich information like Google Maps navigation links, restroom features etc. The skill accesses your email just before sending an email and discards the information once you exit the skill. The skill does not store or log your email address. If you choose to not grant access to your email address, you can still use the skill but will just get results delivered via voice."
,B08W9PSF19,home menu,repos/SunnySood80/Sood-home-menu,Sunny,"an amazing way to stop constanlly asking sunny with the same question, ""What do you want to eat tomorrow""?","an amazing way to stop constanlly asking sunny with the same question, ""What do you want to eat tomorrow""?"
broken,B07FBV5DHK,Ryu – Crypto concierge,repos/syntai/Ryu-Concierge,SyntheticsAi,"Ryu Concierge offers instant information on the best opportunities from the crypto market. With a wide degree of functionalities and ai intelligence, you will have an algorithmic concierge ready to deliver market analysis, trends and the latest social market emotion.Just by using your voice, you are now able to have a faster and more personalized experience when trading your daily financial portfolio. Now you can analyze the most recent market trades just by asking for the correct information.","Ryu Concierge offers instant information on the best opportunities from the crypto market. With a wide degree of functionalities and ai intelligence, you will have an algorithmic concierge ready to deliver market analysis, trends and the latest social market emotion.Just by using your voice, you are now able to have a faster and more personalized experience when trading your daily financial portfolio. Now you can analyze the most recent market trades just by asking for the correct information."
,B07MZXHHQF,Numbers Trivia,repos/Techievena/Numbers_Trivia,Techievena,"Numbers Trivia uses the famous ""numbersapi"" API for getting facts related to numbers and dates and presents it to Alexa users in an elegant fashion. It is a multimodal skill and has both voice and visual aspect through which user can interact with their Alexa device using this skill.This is a great skill that helps the young bright minds to learn numbers and stories about dates in a beautiful and interactive manner. Just give the skill a test run and you will fall in love with it.Numbersapi is an elegant API designed to bring meaning to your metrics and stories to your dates. This skill uses this free API to provide the users those great interesting facts about the numbers they use in their daily life.Here are some of the commands to help you get started:1) ""Alexa, open Numbers Trivia""""Welcome to the Numbers Trivia skill! I can give you many interesting facts about the numbers, their significance in the world of mathematics. I can also tell all the great historical facts any date is known for.""2) ""Help!""""You can ask me questions like, 'Give me a fact about number 42'; 'What is significance of 42 in mathematics?'; 'What is special about 5th September?'""3) ""What is special about 5th September?""""September 5th is the day in 1927 that the first Oswald the Lucky Rabbit cartoon, Trolley Troubles, produced by Walt Disney, is released by Universal Pictures.""4) ""Give me a fact about number 42""""42 is the answer to the Ultimate Question of Life, the Universe, and Everything.""5) ""Tell me a fact about any random number""""145 is the atomic number of Unquadpentium.""6) ""What is the significance of 100 in mathematics?""""100 is the smallest number whose common logarithm is a prime number.""7) ""Tell me the importance of today""""January 1st is the day in 1860 that First Polish stamp is issued.""","Numbers Trivia uses the famous ""numbersapi"" API for getting facts related to numbers and dates and presents it to Alexa users in an elegant fashion. It is a multimodal skill and has both voice and visual aspect through which user can interact with their Alexa device using this skill.This is a great skill that helps the young bright minds to learn numbers and stories about dates in a beautiful and interactive manner. Just give the skill a test run and you will fall in love with it.Numbersapi is an elegant API designed to bring meaning to your metrics and stories to your dates. This skill uses this free API to provide the users those great interesting facts about the numbers they use in their daily life.Here are some of the commands to help you get started:1) ""Alexa, open Numbers Trivia""""Welcome to the Numbers Trivia skill! I can give you many interesting facts about the numbers, their significance in the world of mathematics. I can also tell all the great historical facts any date is known for.""2) ""Help!""""You can ask me questions like, 'Give me a fact about number 42'; 'What is significance of 42 in mathematics?'; 'What is special about 5th September?'""3) ""What is special about 5th September?""""September 5th is the day in 1927 that the first Oswald the Lucky Rabbit cartoon, Trolley Troubles, produced by Walt Disney, is released by Universal Pictures.""4) ""Give me a fact about number 42""""42 is the answer to the Ultimate Question of Life, the Universe, and Everything.""5) ""Tell me a fact about any random number""""145 is the atomic number of Unquadpentium.""6) ""What is the significance of 100 in mathematics?""""100 is the smallest number whose common logarithm is a prime number.""7) ""Tell me the importance of today""""January 1st is the day in 1860 that First Polish stamp is issued."""
unrelated privacy policy,B07VK9R81V,Hit Me Up! by Travis Rotz,repos/tmrotz/nodejs-hit-me-up-skill,tmrotz,I love to laugh! I made this mainly for myself. I think this skill is hilarious; It never stops amusing me.I also made this to learn how to make Alexa Skills using the Alexa Skills Kit (ASK). This was also made using the ASK CLI.,I love to laugh! I made this mainly for myself. I think this skill is hilarious; It never stops amusing me.I also made this to learn how to make Alexa Skills using the Alexa Skills Kit (ASK). This was also made using the ASK CLI.
,B07PHS9XSH,Explore India,repos/vbhv007/Explore-India,vbhv,This is a skill which will let you explore awesome places in India with both voice and visual output. It also gives you info and some less known facts about the place.,This is a skill which will let you explore awesome places in India with both voice and visual output. It also gives you info and some less known facts about the place.
,B0859W41P7,XFL Football Information,repos/WilliamRSpires/XFLAlexaSkill,Will Spires,This skill is designed to keep you informed about the XFL. This is an unofficial skill and is not officially endorsed by the XFL.,This skill is designed to keep you informed about the XFL. This is an unofficial skill and is not officially endorsed by the XFL.
,B08KCYC2QJ,"Psy's-Quiz Game, the Ultimate quiz challenge",repos/xicoder96/psys-quiz-game-alexa-skill,Xicoder96,"# Psys Quiz Game - A Quiz game that you've never played before- Psy's Quiz game is a quiz challenge game where you will be asked questions regarding to the category you choose. Yes! Its as simple as it sounds.- You can choose your category from 23 different categories, ranging from     - Books,     - Film,     - Music,     - Musicals and Theatres,     - Television,     - Video Games,     - Board Games,     - Science and Nature,     - Computers,     - Mathematics,     - Mythology,     - Sports,     - Geography,     - History,     - Politics,     - Art,     - Celebrities,     - Animals,     - Vehicles,     - Comics,     - Gadgets,     - Japanese Anime and Manga,     - Cartoon and Animations. > You can also conduct quiz from shuffled categories by saying ""any"" categories.- You can conduct quiz with any number of questions ranging from 1-15.## Instructions (Sample Uttarences)- Launch skill    - ""Alexa, open psy's quiz game""    - ""Alexa, start psy's quiz game""    - ""Alexa, launch psy's quiz game""### What to do After launching ? - Start the quiz    - ""ask ten question on computer category""     - ""ask three question on computers""     - ""two questions on anime""    - ""give me ten questions on any category""- Answer the quiz    - ""option one""    - ""please lock option one""        - ""answer is option one""    - List out all the categories    - ""categories""- Ask for help    - ""help""- Repeat a question again    - ""repeat""            - ""repeat it""- Stop the quiz    - ""stop""    - ""exit""- Resume the quiz    - ""questions""                    - ""questions please""- Restart the quiz    - ""restart quiz with three question on computer category""     - ""restart with ten question on computer""     - ""restart with anime category""    - ""restart with two questions""    - ""restart quiz""> Note: Default value for questions count is ten and default category is any category## Permissions and usage-  This skill requires permission to access you Name and timezone which will be only used for the salutation introduction.So Ready to give it a try  ?","# Psys Quiz Game - A Quiz game that you've never played before- Psy's Quiz game is a quiz challenge game where you will be asked questions regarding to the category you choose. Yes! Its as simple as it sounds.- You can choose your category from 23 different categories, ranging from     - Books,     - Film,     - Music,     - Musicals and Theatres,     - Television,     - Video Games,     - Board Games,     - Science and Nature,     - Computers,     - Mathematics,     - Mythology,     - Sports,     - Geography,     - History,     - Politics,     - Art,     - Celebrities,     - Animals,     - Vehicles,     - Comics,     - Gadgets,     - Japanese Anime and Manga,     - Cartoon and Animations. > You can also conduct quiz from shuffled categories by saying ""any"" categories.- You can conduct quiz with any number of questions ranging from 1-15.## Instructions (Sample Uttarences)- Launch skill    - ""Alexa, open psy's quiz game""    - ""Alexa, start psy's quiz game""    - ""Alexa, launch psy's quiz game""### What to do After launching ? - Start the quiz    - ""ask ten question on computer category""     - ""ask three question on computers""     - ""two questions on anime""    - ""give me ten questions on any category""- Answer the quiz    - ""option one""    - ""please lock option one""        - ""answer is option one""    - List out all the categories    - ""categories""- Ask for help    - ""help""- Repeat a question again    - ""repeat""            - ""repeat it""- Stop the quiz    - ""stop""    - ""exit""- Resume the quiz    - ""questions""                    - ""questions please""- Restart the quiz    - ""restart quiz with three question on computer category""     - ""restart with ten question on computer""     - ""restart with anime category""    - ""restart with two questions""    - ""restart quiz""> Note: Default value for questions count is ten and default category is any category## Permissions and usage-  This skill requires permission to access you Name and timezone which will be only used for the salutation introduction.So Ready to give it a try  ?"
,B06XDM9SP5,TransitBuddy,repos/yanzhan91/transitbuddy,yzdevelopment,"TransitBuddy helps you get the estimated arrival time of your buses and trains.Currently supports the following agencies:Chicago CTA BusChicago CTA TrainChicago Pace BusUniversity of Michigan Magic BusIf you'd like to see your bus or train on TransitBuddy, please leave a comment in the reviews.After enabling this skill, you will be redirected to create a MyTransitBuddy account. This acocunt will allow you to set presets with route and stop information. Please visit www.mytransitbuddy.com to add your presets. Then, you can simply ask this question:Alexa... ask TransitBuddy for preset 1.For adding or updating presets, please visit www.mytransitbuddy.com.If you enjoy TransitBuddy or have suggestions, please leave a comment in your Alexa app. This will help us improve our skill for you and other users.Credits:Icon made by Freepik from www.flaticon.com","TransitBuddy helps you get the estimated arrival time of your buses and trains.Currently supports the following agencies:Chicago CTA BusChicago CTA TrainChicago Pace BusUniversity of Michigan Magic BusIf you'd like to see your bus or train on TransitBuddy, please leave a comment in the reviews.After enabling this skill, you will be redirected to create a MyTransitBuddy account. This acocunt will allow you to set presets with route and stop information. Please visit www.mytransitbuddy.com to add your presets. Then, you can simply ask this question:Alexa... ask TransitBuddy for preset 1.For adding or updating presets, please visit www.mytransitbuddy.com.If you enjoy TransitBuddy or have suggestions, please leave a comment in your Alexa app. This will help us improve our skill for you and other users.Credits:Icon made by Freepik from www.flaticon.com"
